date_time,category,account,amount,currency,tags
2025-11-29 00:00:00,Job,acct_1,49,BYN,tag_1
2025-11-29 00:00:00,Job,acct_1,18,BYN,tag_2
2025-11-29 00:00:00,Job,acct_1,32,BYN,tag_3
2025-11-29 00:00:00,Job,acct_1,109,BYN,tag_4
2025-11-28 00:00:00,Second work,acct_1,132,BYN,2th_work
2025-11-25 00:00:00,Debt return / Borrowed money,acct_1,49,BYN,tag_5
2025-11-25 00:00:00,Job,acct_1,18,BYN,tag_1
2025-11-22 00:00:00,Job,acct_1,44,BYN,tag_1
2025-11-22 00:00:00,Job,acct_1,10,BYN,tag_2
2025-11-22 00:00:00,Job,acct_1,11,BYN,tag_3
2025-11-20 00:00:00,Job,acct_1,133,BYN,tag_4
2025-11-18 00:00:00,Job,acct_1,17,BYN,tag_1
2025-11-15 00:00:00,Job,acct_1,49,BYN,tag_2
2025-11-15 00:00:00,Job,acct_1,19,BYN,tag_1
2025-11-15 00:00:00,Job,acct_1,31,BYN,tag_3
2025-11-15 00:00:00,Debt return / Borrowed money,acct_2,17,BYN,tag_5
2025-11-13 00:00:00,Job,acct_1,31,BYN,tag_4
2025-11-11 00:00:00,Job,acct_1,17,BYN,tag_1
2025-11-11 00:00:00,Job,acct_1,17,BYN,tag_1
2025-11-11 00:00:00,Job,acct_1,76,BYN,tag_4
2025-11-09 00:00:00,Second work,acct_1,133,BYN,2th_work
2025-11-08 00:00:00,Job,acct_1,49,BYN,tag_2
2025-11-08 00:00:00,Job,acct_1,10,BYN,tag_1
2025-11-08 00:00:00,Job,acct_1,38,BYN,tag_3
2025-11-07 00:00:00,Gift,acct_1,178,BYN,tag_5
2025-11-07 00:00:00,Gift,acct_1,16,BYN,tag_5
2025-11-04 00:00:00,Gift,acct_2,3,BYN,tag_5
2025-11-01 00:00:00,Job,acct_1,28,BYN,tag_3
2025-10-28 00:00:00,Gift,acct_1,176,BYN,tag_5
2025-10-28 00:00:00,Job,acct_1,75,BYN,tag_1
2025-10-28 00:00:00,Job,acct_1,23,BYN,tag_2
2025-10-28 00:00:00,Job,acct_1,75,BYN,tag_1
2025-10-26 00:00:00,Job,acct_1,42,BYN,tag_2
2025-10-26 00:00:00,Job,acct_1,12,BYN,tag_1
2025-10-25 00:00:00,Second work,acct_1,371,BYN,2th_work
2025-10-25 00:00:00,Job,acct_1,29,BYN,tag_3
2025-10-21 00:00:00,Job,acct_1,33,BYN,tag_1
2025-10-20 00:00:00,Debt return / Borrowed money,acct_1,1345,BYN,tag_5
2025-10-20 00:00:00,Job,acct_1,67,BYN,tag_4
2025-10-20 00:00:00,Gift,acct_3,13,BYN,tag_5
2025-10-18 00:00:00,Job,acct_1,10,BYN,tag_3
2025-10-18 00:00:00,Job,acct_1,27,BYN,tag_2
2025-10-18 00:00:00,Job,acct_1,14,BYN,tag_1
2025-10-18 00:00:00,Job,acct_1,10,BYN,tag_3
2025-10-17 00:00:00,Gift,acct_1,197,BYN,tag_5
2025-10-15 00:00:00,Job,acct_1,22,BYN,tag_4
2025-10-15 00:00:00,Second work,acct_1,178,BYN,2th_work
2025-10-14 00:00:00,Job,acct_1,13,BYN,tag_1
2025-10-12 00:00:00,Job,acct_1,16,BYN,tag_3
2025-10-11 00:00:00,Job,acct_1,39,BYN,tag_1
2025-10-11 00:00:00,Job,acct_1,9,BYN,tag_2
2025-10-11 00:00:00,Gift,acct_1,11,BYN,tag_5
2025-10-10 00:00:00,Job,acct_1,22,BYN,tag_4
2025-10-10 00:00:00,Job,acct_1,98,BYN,tag_6
2025-10-07 00:00:00,Job,acct_1,11,BYN,tag_1
2025-10-05 00:00:00,Debt return / Borrowed money,acct_1,25,BYN,tag_5
2025-10-04 00:00:00,Job,acct_1,25,BYN,tag_1
